case_id	array_length	rank	period	peak_height	score	score2	score2_norm	background
tr_0001	11998	1	150	2167	0.1829772862	1.3227096261	0.392995597	22.2195
tr_0001	11998	3	299	319	0.0272789465	0.2243421014	0.0666551875	20.4661
tr_0001	11998	2	301	350	0.0299349983	0.2464733909	0.0732307042	20.4099
tr_0001	11998	6	447	62	0.005369825	0.0472766433	0.0140465543	23.1937
tr_0001	11998	4	449	92	0.007969508	0.0702159209	0.0208621357	22.8995
tr_0001	11998	5	452	75	0.0064985703	0.0573185532	0.0170301467	22.4491
tr_0001	11998	9	597	22	0.0019305019	0.0178022917	0.0052893108	18.6064
tr_0001	11998	7	600	38	0.0033353814	0.03078163	0.0091456543	18.9238
tr_0001	11998	8	602	30	0.0026336582	0.0243181977	0.0072252779	19.2245
